Name	Value	Units	Type	Accuracy	Min	Max	DeclFile	DefnFile	Description
vitk_stepSize	0.1	seconds	real_T	0.01					
vitc_CellVolFilterC	1	none	real_T	0.01	0	1			the constant for cell voltage filter
vitc_PackVolFilterC	1	none	real_T	0.01	0	1			the constant for pack voltage filter
vitc_VehVolFilterC	1	none	real_T	0.01	0	1			the constant for vehicle side voltage filter
vitc_PackCurFilterC	1	none	real_T	0.01	0	1			the constant for pack curent filter
vitc_CoolantTFilterC	1	none	real_T	0.01	0	1			the constant for coolant inlet and outlet tempeature filter
vitc_CellTempFilterC	1	none	real_T	0.01	0	1			the constant for cell temperature filter
vitc_CellVoltageMin	2.7	V	real_T	0.01	0	5			minimum voltage before damage to battery pack. 
vitc_CellVoltageMax	4.2	V	real_T	0.01	0	5			maximum voltage before damage to battery pack.
vitc_CellVoltageFaultTimer	1	none	real_T	0.01	0	50			time duration to trigger cell voltage fault
vitc_CellVoltageLowFaultReset	0	none	boolean	1	0	1			calibration to reset the cell voltage low fault
vitc_CellVoltageHighFaultReset	0	none	boolean	1	0	1			calibration to reset the cell voltage high fault
vitc_CellPackVolTol 	12	V	real_T	0.01	0	100			max difference between sum of cell voltages and pack voltage to trigger pack voltage fault
vitc_PackVoltageFaultTimer	1	seconds	real_T	0.01	0	50			time duration to trigger pack voltage fault
vitc_PackVoltageFaultReset	0	none	boolean	1	0	1			calibration to reset the pack voltage fault
vitc_PackCurrentLimit	300	A	real_T	0.01	0	300			maximum allowable pack current 
vitc_PackCurrentFaultTimer	0.1	seconds	real_T	0.01	0	20			time duration to trigger pack current fault
vitc_PackCurrentFaultReset	0	none	boolean	1	0	1			calibration to reset the pack current fault
vitc_CellTempMin 	-40	C	real_T	0.01	-100	0			maximum allowable cell temperature
vitc_CellTempMax	70	C	real_T	0.01	0	100			minimum allowable cell temperature
vitc_CellTempFaultTimer	5	seconds	real_T	0.01	0	50			time duration to trigger cell temperature fault
vitc_CellTempLowFaultReset	0	none	boolean	1	0	1			calibration to reset low cell temperature fault
vitc_CellTempHighFaultReset	0	none	boolean	1	0	1			calibration to reset high cell temperature fault
vitc_CoolantInletTUpperLim 	70	C	real_T	0.01	0	100			maximum allowable coolant inlet temperature
vitc_CoolantInletTLowerLim	-40	C	real_T	0.01	-100	0			minimum allowable coolant inlet temperature
vitc_CoolantOutletTUpperLim	70	C	real_T	0.01	0	100			maximum allowable coolant outlet temperature
vitc_CoolantOutletTLowerLim	-40	C	real_T	0.01	-100	0			minimum allowable coolant outlet temperature
vitc_CoolantTempFaultCounter	5	seconds	real_T	0.01	0	50			time duration to trigger coolant inlet and outlet temperature fault
vitc_CoolantInletTFaultReset	0	none	boolean	1	0	1			calibration to reset coolant inlet temperature fault
vitc_CoolantOutletTFaultReset	0	none	boolean	1	0	1			calibration to reset coolant outlet temperature fault
vitk_NumberInPara	1	none	real_T	1	0	100			number of cells in parallel
vitk_NumberInSeries	40	none	real_T	1	0	100			number of cells in series
vitc_HVILFaultCounter	5	seconds	real_T	0.01	0	15			
vitc_HVILFaultReset	0	none	boolean	1	0	1			
