Name	Value	Units	Type	Accuracy	Min	Max	DeclFile	DefnFile	Description
**									
BMOk_stepSize	0.1	s	real_T	0.01					
BMOk_BatteryCurrentThresh	1	A	real_T	1					
BMOk_On	1	state	uint8_T	1					
BMOk_Off	0	state	uint8_T	1					
BMOk_PowerOff	0	state	uint8_T	1					
BMOk_PowerOn	1	state	uint8_T	1					
BMOk_CcClosing	2	state	uint8_T	1					
BMOk_PowerClosed	3	state	uint8_T	1					
BMOk_CcOpening	4	state	uint8_T	1					
BMOk_Charging	5	state	uint8_T	1					
BMOk_ChargingSleep	6	state	uint8_T	1					
BMOk_Discharging	7	state	uint8_T	1					
