Name	Value	Units	Type	Accuracy	Min	Max	DeclFile	DefnFile	Description
**									
sohk_stepSize	0.1	s	real_T	0.01					
sohk_CellBalancingResistor	1.1	ohm	real_T	0.01					
sohc_filter_coeff	0.9995	none	real_T	0.0001	0	1			
sohc_current_threshold	0.1	none	real_T	0.1					
sohc_pct_R_limit	30	none	real_T	1					
sohk_delta_time	0.1	s	real_T	0.01					
sohc_customer_filter_coeff	0.9	none	real_T	0.0001	0	1			
sohv_factoryInit_sohr	[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]	none	real_T						
sohv_factoryInit_sohc	[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]	none	real_T						
